CMDLINE /usr/bin/python3 generate_opg.py -t chrome_ext -crx /media/data2/jianjia/extension_data/unzipped_extensions/milpdpjbadncalidnmimelocmkmnmacj -pq --timeout 600 -measure_thread -auto -no_merge -measure_code_cov_progress
MEM 3.671875 1654243451.4220
MEM 20.773438 1654243451.5224
MEM 26.515625 1654243451.6229
MEM 31.160156 1654243451.7233
MEM 31.160156 1654243451.8236
MEM 31.160156 1654243451.9239
MEM 31.160156 1654243452.0243
MEM 31.160156 1654243452.1247
MEM 31.160156 1654243452.2252
MEM 31.160156 1654243452.3257
MEM 31.160156 1654243452.4263
MEM 31.160156 1654243452.5268
MEM 31.160156 1654243452.6273
MEM 31.171875 1654243452.7278
MEM 31.171875 1654243452.8283
MEM 31.171875 1654243452.9288
MEM 31.171875 1654243453.0293
MEM 31.171875 1654243453.1298
MEM 31.171875 1654243453.2303
MEM 31.171875 1654243453.3308
MEM 31.171875 1654243453.4313
MEM 31.171875 1654243453.5318
MEM 31.171875 1654243453.6323
MEM 31.171875 1654243453.7328
MEM 31.171875 1654243453.8333
MEM 31.171875 1654243453.9344
MEM 31.171875 1654243454.0349
MEM 31.171875 1654243454.1354
MEM 31.199219 1654243454.2359
MEM 31.199219 1654243454.3364
MEM 31.449219 1654243454.4369
MEM 31.449219 1654243454.5374
MEM 31.707031 1654243454.6379
MEM 31.707031 1654243454.7384
MEM 31.964844 1654243454.8389
MEM 31.964844 1654243454.9394
MEM 32.222656 1654243455.0400
MEM 32.222656 1654243455.1405
MEM 32.480469 1654243455.2410
MEM 32.480469 1654243455.3415
MEM 32.738281 1654243455.4420
MEM 32.738281 1654243455.5425
MEM 32.996094 1654243455.6431
MEM 32.996094 1654243455.7436
MEM 33.253906 1654243455.8441
MEM 33.253906 1654243455.9447
MEM 33.511719 1654243456.0452
MEM 33.511719 1654243456.1457
MEM 33.769531 1654243456.2462
MEM 33.769531 1654243456.3466
MEM 33.769531 1654243456.4471
MEM 34.027344 1654243456.5477
MEM 34.027344 1654243456.6482
MEM 34.285156 1654243456.7487
MEM 34.285156 1654243456.8492
MEM 34.542969 1654243456.9497
MEM 34.542969 1654243457.0503
MEM 34.800781 1654243457.1508
MEM 35.058594 1654243457.2513
MEM 35.058594 1654243457.3518
MEM 35.058594 1654243457.4523
MEM 35.316406 1654243457.5528
MEM 35.316406 1654243457.6533
MEM 35.574219 1654243457.7539
MEM 35.832031 1654243457.8544
MEM 35.832031 1654243457.9549
MEM 35.832031 1654243458.0554
MEM 36.089844 1654243458.1559
MEM 36.089844 1654243458.2564
MEM 36.089844 1654243458.3569
MEM 36.605469 1654243458.4574
MEM 36.605469 1654243458.5579
MEM 36.605469 1654243458.6584
MEM 36.605469 1654243458.7589
MEM 36.863281 1654243458.8594
MEM 36.863281 1654243458.9600
MEM 37.121094 1654243459.0605
MEM 37.378906 1654243459.1610
MEM 37.378906 1654243459.2615
MEM 37.378906 1654243459.3620
MEM 37.636719 1654243459.4625
MEM 37.636719 1654243459.5631
MEM 37.894531 1654243459.6636
MEM 37.894531 1654243459.7641
MEM 37.894531 1654243459.8646
MEM 38.152344 1654243459.9651
MEM 38.667969 1654243460.0657
MEM 38.667969 1654243460.1662
MEM 38.667969 1654243460.2667
MEM 38.667969 1654243460.3672
MEM 38.667969 1654243460.4677
MEM 38.925781 1654243460.5682
MEM 38.925781 1654243460.6687
MEM 39.183594 1654243460.7692
MEM 39.183594 1654243460.8697
MEM 39.699219 1654243460.9702
MEM 39.699219 1654243461.0707
MEM 39.699219 1654243461.1713
MEM 39.699219 1654243461.2718
MEM 39.957031 1654243461.3723
MEM 39.957031 1654243461.4734
MEM 39.957031 1654243461.5739
MEM 40.214844 1654243461.6744
MEM 40.214844 1654243461.7749
MEM 40.472656 1654243461.8754
MEM 40.472656 1654243461.9759
MEM 40.988281 1654243462.0765
MEM 40.988281 1654243462.1770
MEM 40.988281 1654243462.2775
MEM 40.988281 1654243462.3780
MEM 41.246094 1654243462.4785
MEM 41.246094 1654243462.5790
MEM 41.246094 1654243462.6795
MEM 41.503906 1654243462.7800
MEM 41.761719 1654243462.8806
MEM 41.761719 1654243462.9811
MEM 41.761719 1654243463.0816
MEM 42.535156 1654243463.1821
MEM 42.535156 1654243463.2826
MEM 42.535156 1654243463.3831
MEM 42.535156 1654243463.4836
MEM 42.535156 1654243463.5841
MEM 42.535156 1654243463.6846
MEM 42.535156 1654243463.7851
MEM 42.792969 1654243463.8856
MEM 43.050781 1654243463.9861
MEM 43.050781 1654243464.0866
MEM 43.050781 1654243464.1871
MEM 43.308594 1654243464.2876
MEM 43.308594 1654243464.3881
MEM 43.566406 1654243464.4886
MEM 44.082031 1654243464.5891
MEM 44.082031 1654243464.6896
MEM 44.082031 1654243464.7901
MEM 44.082031 1654243464.8907
MEM 44.082031 1654243464.9912
MEM 44.339844 1654243465.0918
MEM 44.339844 1654243465.1923
MEM 44.597656 1654243465.2928
MEM 44.597656 1654243465.3933
MEM 44.597656 1654243465.4938
MEM 44.855469 1654243465.5943
MEM 44.855469 1654243465.6948
MEM 45.113281 1654243465.7953
MEM 45.113281 1654243465.8959
MEM 45.371094 1654243465.9964
MEM 46.144531 1654243466.0969
MEM 46.144531 1654243466.1974
MEM 46.144531 1654243466.2979
MEM 46.144531 1654243466.3985
MEM 46.144531 1654243466.4989
MEM 46.144531 1654243466.5995
MEM 46.144531 1654243466.7000
MEM 46.144531 1654243466.8005
MEM 46.402344 1654243466.9010
MEM 46.402344 1654243467.0015
MEM 46.402344 1654243467.1020
